isolate,rep,sample,mg
200723,1,WS,376.9
200723,1,WR,9.3
200723,1,DS,22.3
200723,1,DR,0.2
200723,1,IW,58218.3
200723,1,FW,57941.3
200723,2,WS,247.5
200723,2,WR,29.7
200723,2,DS,14.1
200723,2,DR,2.5
200723,2,IW,58080.5
200723,2,FW,57804.4
200723,3,WS,267.3
200723,3,WR,15.7
200723,3,DS,16.5
200723,3,DR,0.9
200723,3,IW,57874.8
200723,3,FW,57295.1
201884,1,WS,179.4
201884,1,WR,13.3
201884,1,DS,11.1
201884,1,DR,0.9
201884,1,IW,57669.6
201884,1,FW,57401.7
201884,2,WS,304.6
201884,2,WR,11.8
201884,2,DS,21.7
201884,2,DR,1.3
201884,2,IW,58393.1
201884,2,FW,58059.9
201884,3,WS,169.9
201884,3,WR,11.5
201884,3,DS,11.2
201884,3,DR,0.7
201884,3,IW,58270.2
201884,3,FW,58022.7
201862,1,WS,345.4
201862,1,WR,39.9
201862,1,DS,23.3
201862,1,DR,3.2
201862,1,IW,57700.9
201862,1,FW,57414.5
201862,2,WS,367.8
201862,2,WR,16.6
201862,2,DS,22.8
201862,2,DR,1.5
201862,2,IW,58601.1
201862,2,FW,58313.9
201862,3,WS,146.7
201862,3,WR,10.0
201862,3,DS,8.5
201862,3,DR,0.9
201862,3,IW,58012.3
201862,3,FW,57778.2
200505,1,WS,255.2
200505,1,WR,20.9
200505,1,DS,15.8
200505,1,DR,1.9
200505,1,IW,57780.4
200505,1,FW,57527.8
200505,2,WS,413.0
200505,2,WR,13.6
200505,2,DS,26.9
200505,2,DR,1.2
200505,2,IW,58743.6
200505,2,FW,58355.3
200505,3,WS,245.2
200505,3,WR,21.1
200505,3,DS,14.9
200505,3,DR,2.1
200505,3,IW,57363.5
200505,3,FW,57128.7
200926,1,WS,406.4
200926,1,WR,10.7
200926,1,DS,24.2
200926,1,DR,0.8
200926,1,IW,57684.8
200926,1,FW,57426.0
200926,2,WS,98.6
200926,2,WR,16.9
200926,2,DS,5.5
200926,2,DR,1.5
200926,2,IW,58132.7
200926,2,FW,57955.0
200926,3,WS,135.7
200926,3,WR,26.4
200926,3,DS,8.1
200926,3,DR,2.0
200926,3,IW,57960.0
200926,3,FW,57711.8
200443,1,WS,181.1
200443,1,WR,9.6
200443,1,DS,10.0
200443,1,DR,0.7
200443,1,IW,58252.8
200443,1,FW,58091.3
200443,2,WS,202.3
200443,2,WR,24.7
200443,2,DS,11.7
200443,2,DR,2.0
200443,2,IW,58361.1
200443,2,FW,58121.6
200443,3,WS,252.9
200443,3,WR,20.4
200443,3,DS,14.8
200443,3,DR,1.4
200443,3,IW,58844.6
200443,3,FW,58629.5
201849,1,WS,221.4
201849,1,WR,21.3
201849,1,DS,13.6
201849,1,DR,1.8
201849,1,IW,57807.6
201849,1,FW,57558.9
201849,2,WS,167.4
201849,2,WR,10.7
201849,2,DS,9.5
201849,2,DR,1.0
201849,2,IW,58079.9
201849,2,FW,57842.6
201849,3,WS,207.3
201849,3,WR,15.3
201849,3,DS,13.2
201849,3,DR,1.0
201849,3,IW,58393.4
201849,3,FW,58147.3
200634,1,WS,373.9
200634,1,WR,12.4
200634,1,DS,23.4
200634,1,DR,0.7
200634,1,IW,58723.1
200634,1,FW,58479.9
200634,2,WS,192.1
200634,2,WR,17.4
200634,2,DS,14.6
200634,2,DR,1.3
200634,2,IW,57733.1
200634,2,FW,57407.4
200634,3,WS,189.1
200634,3,WR,14.5
200634,3,DS,13.3
200634,3,DR,0.8
200634,3,IW,58101.9
200634,3,FW,57856.1
201079,1,WS,241.5
201079,1,WR,21.0
201079,1,DS,12.9
201079,1,DR,1.1
201079,1,IW,57925.4
201079,1,FW,57683.2
201079,2,WS,428.1
201079,2,WR,27.3
201079,2,DS,26.9
201079,2,DR,1.8
201079,2,IW,58128.1
201079,2,FW,57860.9
201079,3,WS,419.9
201079,3,WR,50.8
201079,3,DS,23.9
201079,3,DR,3.6
201079,3,IW,57437.0
201079,3,FW,57181.4
200648,1,WS,450.9
200648,1,WR,20.5
200648,1,DS,25.5
200648,1,DR,1.7
200648,1,IW,5811.4
200648,1,FW,57827.1
200648,2,WS,NA
200648,2,WR,NA
200648,2,DS,NA
200648,2,DR,NA
200648,2,IW,56824.2
200648,2,FW,56578.2
200648,3,WS,184.2
200648,3,WR,26.5
200648,3,DS,11.3
200648,3,DR,2.2
200648,3,IW,58100.4
200648,3,FW,57898.1
201891,1,WS,NA
201891,1,WR,NA
201891,1,DS,NA
201891,1,DR,NA
201891,1,IW,58167.6
201891,1,FW,57844.7
201891,2,WS,NA
201891,2,WR,NA
201891,2,DS,NA
201891,2,DR,NA
201891,2,IW,58162.9
201891,2,FW,57909.1
201891,3,WS,NA
201891,3,WR,NA
201891,3,DS,NA
201891,3,DR,NA
201891,3,IW,58051.6
201891,3,FW,57751.6
200567,1,WS,354.2
200567,1,WR,22.5
200567,1,DS,18.9
200567,1,DR,1.7
200567,1,IW,58094.3
200567,1,FW,57879.5
200567,2,WS,416.1
200567,2,WR,28.7
200567,2,DS,22.8
200567,2,DR,2.7
200567,2,IW,58607.5
200567,2,FW,58419.2
200567,3,WS,198.1
200567,3,WR,6.8
200567,3,DS,12.6
200567,3,DR,0.8
200567,3,IW,58100.1
200567,3,FW,57886.4
201830,1,WS,NA
201830,1,WR,NA
201830,1,DS,NA
201830,1,DR,NA
201830,1,IW,57686.3
201830,1,FW,57401.1
201830,2,WS,NA
201830,2,WR,NA
201830,2,DS,NA
201830,2,DR,NA
201830,2,IW,58244.4
201830,2,FW,57955.6
201830,3,WS,NA
201830,3,WR,NA
201830,3,DS,NA
201830,3,DR,NA
201830,3,IW,58065.7
201830,3,FW,57796.4
201350,1,WS,453.6
201350,1,WR,46.0
201350,1,DS,31.1
201350,1,DR,3.9
201350,1,IW,58518.1
201350,1,FW,58301.7
