isolate,rep,sample,mg
201928,1,WS,NA
201928,1,WR,NA
201928,1,DS,NA
201928,1,DR,NA
201928,1,IW,NA
201928,1,FW,NA
201928,2,WS,NA
201928,2,WR,NA
201928,2,DS,NA
201928,2,DR,NA
201928,2,IW,NA
201928,2,FW,NA
201928,3,WS,NA
201928,3,WR,NA
201928,3,DS,NA
201928,3,DR,NA
201928,3,IW,NA
201928,3,FW,NA
200931,1,WS,416.6
200931,1,WR,86.7
200931,1,DS,23.3
200931,1,DR,5.9
200931,1,IW,57484.9
200931,1,FW,57096.4
200931,2,WS,419.6
200931,2,WR,53.5
200931,2,DS,24.8
200931,2,DR,2.9
200931,2,IW,58753.7
200931,2,FW,58324.6
200931,3,WS,383.6
200931,3,WR,39.2
200931,3,DS,23.0
200931,3,DR,2.9
200931,3,IW,57389.1
200931,3,FW,56924.6
201258,1,WS,380.2
201258,1,WR,17.6
201258,1,DS,24.3
201258,1,DR,1.2
201258,1,IW,58201.8
201258,1,FW,57776.4
201258,2,WS,107.9
201258,2,WR,23.2
201258,2,DS,8.8
201258,2,DR,1.6
201258,2,IW,57812.2
201258,2,FW,57373.8
201258,3,WS,266.5
201258,3,WR,33.2
201258,3,DS,18.1
201258,3,DR,2.5
201258,3,IW,57304.9
201258,3,FW,56847.3
200624,1,WS,NA
200624,1,WR,NA
200624,1,DS,NA
200624,1,DR,NA
200624,1,IW,57796.4
200624,1,FW,57272.3
200624,2,WS,286.1
200624,2,WR,57.4
200624,2,DS,17.7
200624,2,DR,4.5
200624,2,IW,58141.2
200624,2,FW,57796.7
200624,3,WS,443.5
200624,3,WR,54.5
200624,3,DS,24.9
200624,3,DR,3.2
200624,3,IW,57698.4
200624,3,FW,57247.8
201297,1,WS,304.0
201297,1,WR,32.3
201297,1,DS,21.0
201297,1,DR,1.6
201297,1,IW,58236.5
201297,1,FW,57796.6
201297,2,WS,NA
201297,2,WR,NA
201297,2,DS,NA
201297,2,DR,NA
201297,2,IW,58017.9
201297,2,FW,57574.3
201297,3,WS,NA
201297,3,WR,NA
201297,3,DS,NA
201297,3,DR,NA
201297,3,IW,58317.9
201297,3,FW,57863.3
201058,1,WS,221.8
